HEADLINE,URL,SUMMARY
"Another 11 hostages freed, Israel says, as Gaza truce extended",/news/live/world-middle-east-67539313,The latest hostage release comes as Israel and Hamas agree to extend the current truce just hours before it was due to expire.
How Hamas built a force to attack Israel on 7 October,/news/world-middle-east-67480680,BBC Arabic and BBC Verify have pieced together how armed groups came together to train for the assault.
UK PM Sunak cancels Greek PM meeting in Elgin Marbles row ,/news/uk-politics-67549044,"Kyriakos Mitsotakis, who wants the Parthenon Sculptures returned, is ""disappointed"" the meeting has been called off."
Imran Khan's ex-adviser attacked with acid in UK,/news/uk-67547730,Mirza Shahzad Akbar said the chemical missed his eyes but caused injuries on his body.
Shock as New Zealand axes world-first smoking ban,/news/world-asia-67540190,Health experts are appalled as the new government plans to repeal the policy to fund tax cuts.
UAE planned to use climate talks to make oil deals,/news/science-environment-67508331,Leaked documents show how the COP28 host planned to use its role to strike fossil fuel business deals.
Suspect pleads not guilty after Vermont shooting,/news/world-us-canada-67539809,Three men of Palestinian descent were wounded in an attack in Burlington on Saturday.
US Navy seizes attackers who held Israel-linked tanker,/news/world-middle-east-67542550,Houthi rebels fired missiles towards the warship which chased the armed men trying to escape by boat.
Six French teenagers on trial over teacher's murder,/news/world-europe-67543278,The suspects are accused of inciting the murder and pointing out the teacher to the killer.
Ancient treasures back in Ukraine after court battle,/news/world-europe-67541168,Golden helmets and precious gems are sent to Kyiv after a 10-year row with Russia over their ownership.
"Thai groom kills four at wedding, including bride",/news/world-asia-67540210,"Police say the shooter, who killed himself, was ""quite intoxicated at the time""."
Ancient treasures back in Ukraine after court battle,/news/world-europe-67541168,Golden helmets and precious gems are sent to Kyiv after a 10-year row with Russia over their ownership.
"Thai groom kills four at wedding, including bride",/news/world-asia-67540210,"Police say the shooter, who killed himself, was ""quite intoxicated at the time""."
Watch: Huge waves hit Russian coast in Winter storms,/news/world-europe-67547361,"Snowstorms and flooding have hit parts of Russia and Ukraine, leaving nearly two million people without power."
Lightning and hailstorms kill 24 in western India,/news/world-asia-india-67543528,"Heavy storms are unusual for Gujarat in winter, and the ferocious downpour caught many off guard."
Bird flu kills hundreds of flamingos in Argentina,/news/world-latin-america-67509697,Locals have been warned not to touch the dead birds as the avian influenza virus can spread to humans.
Israel-Hamas truce extended for two days - Qatar,/news/world-middle-east-67542209,
Watch: Gaza families living in tents with no winter clothing,/news/world-middle-east-67548831,
Hostage helped rescue her daughter from kidnap,https://www.bbc.com/news/live/world-middle-east-67539313?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=6564abe169d486126e9402ea%26Hostage%20helped%20rescue%20her%20daughter%20from%20kidnap%262023-11-27T15%3A20%3A49.087Z&ns_fee=0&pinned_post_locator=urn:asset:e847d63f-d6c6-4381-8b97-d9337387b91c&pinned_post_asset_id=6564abe169d486126e9402ea&pinned_post_type=share,
What does the Red Cross do in hostage crises?,/news/world-middle-east-67520263,
Elon Musk visits 7 October kibbutz with Israeli PM,/news/world-middle-east-67542129,
A quick guide to smoking bans across the world,/news/uk-67545363,
BBC World News TV,/news/world_radio_and_tv,"The latest global news, sport, weather and documentaries"
BBC World Service Radio,/sounds/play/live:bbc_world_service,Stories from around the world
TikTok v X: The Israel-Gaza battles raging on social media,/news/business-67497299,
The Irish troops watching Israel’s hidden conflict,/news/world-middle-east-67508534,
Kenyans seek unsafe abortions amid legal ambiguity,/news/world-africa-67473183,
The homeless handyman and wealthy widow: Love or something darker?,https://www.bbc.co.uk/news/world-67507646,
The job-sharing apps that feel like online dating,/news/business-67413201,
What's Merriam-Webster's new word of the year?,/news/world-us-canada-67543895,
Your pictures on the theme of 'tiny creatures',/news/in-pictures-67495402,
Venables the best English coach we've had - Lineker,/sport/football/67537553,
Prophet Song by Paul Lynch wins 2023 Booker Prize,/news/entertainment-arts-67537449,
Thirteen soldiers killed in Sierra Leone violence,/news/world-africa-67541728,
Time to understand homosexuality - Ghana cardinal,/news/world-africa-67518215,
South Korean man jailed for praising North in poem,/news/world-asia-67540211,
The world's most powerful lasers,https://www.bbc.com/future/article/20231123-the-worlds-most-powerful-lasers,
How EcoVadis holds firms accountable,https://www.bbc.com/worklife/article/20231126-how-ecovadis-is-holding-global-corporations-accountable,
Why Swedes don’t like chit-chat,https://www.bbc.com/travel/article/20201203-why-swedes-dont-speak-to-strangers,
A guide to giving gifts sustainably,https://www.bbc.com/culture/article/20231127-festive-fabulous-and-sustainable-a-holiday-gift-guide,
The phone you can repair yourself,https://www.bbc.com/future/article/20231121-what-does-a-sustainable-smartphone-look-like,
Travellers are snubbing budget airlines,https://www.bbc.com/worklife/article/20231116-do-travellers-still-want-to-fly-budget-airlines,
The tunnels made by giant sloths,https://www.bbc.com/travel/article/20231127-brazils-mysterious-tunnels-made-by-giant-sloths,
Premier League: Fulham 2-1 Wolves - Willian restores lead from spot,/sport/live/football/67347651,
'Messi mania one of biggest revolutions in US sport',/sport/football/67543580,
'Best goal I've seen live' - Garnacho scores 'goal of season',/sport/football/67537561,
"'Gary, you shouldn't be offside' - Venables, Lineker and Hughes at Barcelona",/sport/av/football/67544771,
Carolina Panthers sack coach Reich after 1-10 start,/sport/american-football/67547351,
'He changed training and the Barca players didn't like it - then they won',/sport/football/67538677,
Hurts the hero as Eagles win overtime classic,/sport/american-football/67540030,
